Ward,Corporator,Contact number,Email
1,A.Ezilarasi,9445467001,ward001@chennaicorporation.gov.in
2,C.Selvam,9445467002,ward002@chennaicorporation.gov.in
3,P.Tamilarasan,9445467003,ward003@chennaicorporation.gov.in
4,S.Saravanan,9445467004,ward004@chennaicorporation.gov.in
5,K.P.Shankar,9445467005,ward005@chennaicorporation.gov.in
6,S.Vincent,9445467006,ward006@chennaicorporation.gov.in
7,T.N.Kalaiarasan,9445467007,ward007@chennaicorporation.gov.in
8,S.Nagamammal,9445467008,ward008@chennaicorporation.gov.in
9,M.Thanaramesh,9445467009,ward009@chennaicorporation.gov.in
10,S.Suryababu,9445467010,ward010@chennaicorporation.gov.in
11,P.Jebarani,9445467011,ward011@chennaicorporation.gov.in
12,R.V.Thanaraj,9445467012,ward012@chennaicorporation.gov.in
13,Prabhakaran,9445467013,ward013@chennaicorporation.gov.in
14,C.Perarasi,9445467014,ward014@chennaicorporation.gov.in
15,K. Vanitha,9445467015,ward015@chennaicorporation.gov.in
16,K.Thangasivam,9445467016,ward016@chennaicorporation.gov.in
17,N.Kavitha,9445467017,ward017@chennaicorporation.gov.in
18,D.Durai,9445467018,ward018@chennaicorporation.gov.in
19,G.Parthiban,9445467019,ward019@chennaicorporation.gov.in
20,A.V.Arumugam,9445467020,ward020@chennaicorporation.gov.in
21,R. Gnanasekar,9445467021,ward021@chennaicorporation.gov.in
22,Umamageshvari,9445467022,ward022@chennaicorporation.gov.in
23,A. Agila,9445467023,ward023@chennaicorporation.gov.in
24,T.T.Subramani,9445467024,ward024@chennaicorporation.gov.in
25,P.Vadhana,9445467025,ward025@chennaicorporation.gov.in
26,D.Velayudham,9445467026,ward026@chennaicorporation.gov.in
27,M.Kannadasan,9445467027,ward027@chennaicorporation.gov.in
28,E.Chnadrasekaran,9445467028,ward028@chennaicorporation.gov.in
29,T.Karikalachozan,9445467029,ward029@chennaicorporation.gov.in
30,T.Dhakshinamurthy,9445467030,ward030@chennaicorporation.gov.in
31,V.Ramani,9445467031,ward031@chennaicorporation.gov.in
32,P.Shankar,9445467032,ward032@chennaicorporation.gov.in
33,I.Shanthi,9445467033,ward033@chennaicorporation.gov.in
34,E.Laxhmi Narayanan,9445467034,ward034@chennaicorporation.gov.in
35,Gnasekar,9445467035,ward035@chennaicorporation.gov.in
36,N.M.Basakaran,9445467036,ward036@chennaicorporation.gov.in
37,J.K.Ramesh,9445467037,ward037@chennaicorporation.gov.in
38,S.Santhanam,9445467038,ward038@chennaicorporation.gov.in
39,N.Sasikala,9445467039,ward039@chennaicorporation.gov.in
40,J.Lalitha,9445467040,ward040@chennaicorporation.gov.in
41,R. Sasireka,9445467041,ward041@chennaicorporation.gov.in
42,S.Anjulaxmi,9445467042,ward042@chennaicorporation.gov.in
43,B.Karthikeyan,9445467043,ward043@chennaicorporation.gov.in
44,Rajisri Vettriventhan,9445467044,ward044@chennaicorporation.gov.in
45,Irudhayarani,9445467045,ward045@chennaicorporation.gov.in
46,D.Saravanan,9445467046,ward046@chennaicorporation.gov.in
47,R.Maduraiveren,9445467047,ward047@chennaicorporation.gov.in
48,R.Poongodi,9445467048,ward048@chennaicorporation.gov.in
49,Ra.Pazhani,9445467049,ward049@chennaicorporation.gov.in
50,S.Sandramathi,9445467050,ward050@chennaicorporation.gov.in
51,B.Vijayakumari,9445467051,ward051@chennaicorporation.gov.in
52,S.Nagaamma,9445467052,ward052@chennaicorporation.gov.in
53,N.V.Ravi,9445467053,ward053@chennaicorporation.gov.in
54,Pratap Kumar,9445467054,ward054@chennaicorporation.gov.in
55,A.Krishnareddy,9445467055,ward055@chennaicorporation.gov.in
56,D.Subash Chandraboss,9445467056,ward056@chennaicorporation.gov.in
57,Arulvel,9445467057,ward057@chennaicorporation.gov.in
58,T.Kalrimuthu,9445467058,ward058@chennaicorporation.gov.in
59,N.Nagamani,9445467059,ward059@chennaicorporation.gov.in
60,H.Seemabashir,9445467060,ward060@chennaicorporation.gov.in
61,M.Moohamud Imthiyas,9445467061,ward061@chennaicorporation.gov.in
62,M.Pandian,9445467062,ward062@chennaicorporation.gov.in
63,Alikan Basir,9445467063,ward063@chennaicorporation.gov.in
64,M.Sundar,9445467064,ward064@chennaicorporation.gov.in
65,Deva Jevakar,9445467065,ward065@chennaicorporation.gov.in
66,V.R.Gayathri,9445467066,ward066@chennaicorporation.gov.in
67,K.Manimegalai,9445467067,ward067@chennaicorporation.gov.in
68,P.Usha,9445467068,ward068@chennaicorporation.gov.in
69,S.Subalaxmi,9445467069,ward069@chennaicorporation.gov.in
70,M.Jeyasri,9445467070,ward070@chennaicorporation.gov.in
71,S.Puspharaj,9445467071,ward071@chennaicorporation.gov.in
72,K.Sivakumar,9445467072,ward072@chennaicorporation.gov.in
73,V.Sugumar,9445467073,ward073@chennaicorporation.gov.in
74,S.Hemamalini,9445467074,ward074@chennaicorporation.gov.in
75,Santhanakrishnan,9445467075,ward075@chennaicorporation.gov.in
76,M.Saroja,9445467076,ward076@chennaicorporation.gov.in
77,B.Kumari,9445467077,ward077@chennaicorporation.gov.in
78,T.Mahizanban,9445467078,ward078@chennaicorporation.gov.in
79,M.Vijayakanthan,9445467079,ward079@chennaicorporation.gov.in
80,G.R.Seenivasan,9445467080,ward080@chennaicorporation.gov.in
81,H.Kumari,9445467081,ward081@chennaicorporation.gov.in
82,Ravi,9445467082,ward082@chennaicorporation.gov.in
83,Ezhilselvi,9445467083,ward083@chennaicorporation.gov.in
84,M.Kandhappan,9445467084,ward084@chennaicorporation.gov.in
85,Joseph Samuvel,9445467085,ward085@chennaicorporation.gov.in
86,M.Guru,9445467086,ward086@chennaicorporation.gov.in
