City Name,Zone Name,Ward Name,Ward No.,Area ( In sq km),Residential area (in sq Km),Non-residential area ( in sq Km) ,"Area covered under parks, playgrounds and open spaces (in sq m)"
Chennai,Thiruvotriyur,NA,1,1.733613,NA,NA,1300
Chennai,Thiruvotriyur,NA,2,2.915969,NA,NA,NA
Chennai,Thiruvotriyur,NA,3,3.161299,NA,NA,5530.47
Chennai,Thiruvotriyur,NA,4,1.844558,NA,NA,NA
Chennai,Thiruvotriyur,NA,5,2.318969,NA,NA,10451.07
Chennai,Thiruvotriyur,NA,6,1.611065,NA,NA,NA
Chennai,Thiruvotriyur,NA,7,7.677656,NA,NA,1243.88
Chennai,Thiruvotriyur,NA,8,0.724109,NA,NA,NA
Chennai,Thiruvotriyur,NA,9,0.68088,NA,NA,NA
Chennai,Thiruvotriyur,NA,10,0.526418,NA,NA,NA
Chennai,Thiruvotriyur,NA,11,0.630138,NA,NA,2074
Chennai,Thiruvotriyur,NA,12,0.42084,NA,NA,NA
Chennai,Thiruvotriyur,NA,13,0.471381,NA,NA,NA
Chennai,Thiruvotriyur,NA,14,0.666016,NA,NA,NA
Chennai,Manali,NA,15,8.704598,NA,NA,10231.17
Chennai,Manali,NA,16,10.025259,NA,NA,20323.21
Chennai,Manali,NA,17,6.674754,NA,NA,9859
Chennai,Manali,NA,18,8.072419,NA,NA,5184.3
Chennai,Manali,NA,19,4.116911,NA,NA,14948.61
Chennai,Manali,NA,20,0.636762,NA,NA,1925
Chennai,Manali,NA,21,1.870478,NA,NA,835
Chennai,Madhavaram,NA,22,4.15357,NA,NA,4416.66
Chennai,Madhavaram,NA,23,2.711609,NA,NA,14837.54
Chennai,Madhavaram,NA,24,4.97131,NA,NA,29479.2
Chennai,Madhavaram,NA,25,2.70592,NA,NA,11024.2
Chennai,Madhavaram,NA,26,5.404919,NA,NA,2243.29
Chennai,Madhavaram,NA,27,2.152125,NA,NA,NA
Chennai,Madhavaram,NA,28,3.64297,NA,NA,4840
Chennai,Madhavaram,NA,29,2.153129,NA,NA,NA
Chennai,Madhavaram,NA,30,1.469352,NA,NA,6985
Chennai,Madhavaram,NA,31,1.122503,NA,NA,8700
Chennai,Madhavaram,NA,32,0.686741,NA,NA,4182
Chennai,Madhavaram,NA,33,2.461744,NA,NA,5283.59
Chennai,Tondiarpet,NA,34,2.380013,NA,NA,5198
Chennai,Tondiarpet,NA,35,1.757238,NA,NA,8503.64
Chennai,Tondiarpet,NA,36,1.534958,NA,NA,27017
Chennai,Tondiarpet,NA,37,4.351906,NA,NA,38299.6
Chennai,Tondiarpet,NA,38,2.481981,NA,NA,12034
Chennai,Tondiarpet,NA,39,1.041026,NA,NA,NA
